parent_category;subcategory;front_de;back_de;front_en;back_en;is_bidirectional
Energie;Strom und Elektrotechnik;Was ist elektrischer Strom?;Elektrischer Strom ist die gerichtete Bewegung elektrischer Ladung. Die Stromstärke beschreibt, wie viel Ladung pro Zeit durch einen Leiter fließt.;What is electric current?;Electric current is the directed movement of electric charge. Current strength describes how much charge flows through a conductor per unit of time.;0
Energie;Strom und Elektrotechnik;Was bedeutet die Stromstärke I?;Die Stromstärke I gibt an, wie viel elektrische Ladung pro Zeit fließt. Ihre Einheit ist Ampere. Ein Ampere entspricht einem Coulomb pro Sekunde.;What does current strength I mean?;Current strength I indicates how much electric charge flows per unit of time. Its unit is the ampere. One ampere equals one coulomb per second.;0
Energie;Strom und Elektrotechnik;Was ist elektrische Spannung?;Elektrische Spannung U ist eine Potentialdifferenz zwischen zwei Punkten. Sie beschreibt, wie viel Energie pro Ladung übertragen werden kann. Die Einheit ist Volt.;What is electric voltage?;Electric voltage U is a potential difference between two points. It describes how much energy per charge can be transferred. Its unit is the volt.;0
Energie;Strom und Elektrotechnik;Was ist elektrischer Widerstand?;Der Widerstand R beschreibt, wie stark ein Bauteil den Stromfluss begrenzt. Die Einheit ist Ohm.;What is electrical resistance?;Resistance R describes how strongly a component limits current flow. Its unit is the ohm.;0
Energie;Strom und Elektrotechnik;Wie lautet das Ohmsche Gesetz?;Das Ohmsche Gesetz lautet U = R · I. Daraus folgen I = U / R und R = U / I.;What is Ohm's law?;Ohm's law states U = R · I. From this follow I = U / R and R = U / I.;0
Energie;Strom und Elektrotechnik;Was ist elektrische Leistung?;Leistung P beschreibt, wie schnell elektrische Energie umgesetzt oder übertragen wird. Bei Gleichstrom und rein ohmschen Lasten gilt P = U · I. Die Einheit ist Watt.;What is electric power?;Power P describes how quickly electrical energy is converted or transferred. For direct current and purely resistive loads, P = U · I. Its unit is the watt.;0
Energie;Strom und Elektrotechnik;Was ist elektrische Energie?;Elektrische Energie ist die über eine Zeit übertragene oder umgesetzte Energiemenge. Bei konstanter Leistung gilt E = P · t.;What is electrical energy?;Electrical energy is the amount of energy transferred or converted over a period of time. At constant power, E = P · t.;0
Energie;Strom und Elektrotechnik;Was ist der Unterschied zwischen Leistung und Energie?;Leistung beschreibt eine Rate und wird in Watt gemessen. Energie beschreibt eine Menge über einen Zeitraum und wird zum Beispiel in Wattstunden oder Joule gemessen.;What is the difference between power and energy?;Power describes a rate and is measured in watts. Energy describes an amount over a period of time and is measured, for example, in watt-hours or joules.;0
Energie;Strom und Elektrotechnik;Was ist ein Leiter?;Ein Leiter ist ein Material, in dem sich elektrische Ladungsträger vergleichsweise leicht bewegen können. Kupfer und Aluminium sind typische Leiter.;What is a conductor?;A conductor is a material in which electric charge carriers can move comparatively easily. Copper and aluminium are typical conductors.;0
Energie;Strom und Elektrotechnik;Was ist ein Isolator?;Ein Isolator leitet elektrischen Strom sehr schlecht. Beispiele sind Glas, Kunststoff und Keramik.;What is an insulator?;An insulator conducts electric current very poorly. Examples are glass, plastic and ceramics.;0
Energie;Strom und Elektrotechnik;Was ist Gleichstrom?;Bei Gleichstrom bleibt die Stromrichtung grundsätzlich gleich. Batterien und Photovoltaikmodule erzeugen zunächst Gleichstrom.;What is direct current?;With direct current, the direction of flow stays fundamentally the same. Batteries and photovoltaic modules initially produce direct current.;0
Energie;Strom und Elektrotechnik;Was ist Wechselstrom?;Bei Wechselstrom ändern sich Stromrichtung und Spannung periodisch. Das öffentliche Stromnetz arbeitet mit Wechselspannung.;What is alternating current?;With alternating current, direction and voltage change periodically. The public power grid runs on alternating voltage.;0
Energie;Strom und Elektrotechnik;Was bedeutet 50 Hz im Stromnetz?;50 Hz bedeutet, dass sich die Wechselgröße 50-mal pro Sekunde wiederholt. Die Frequenz zeigt außerdem, ob Erzeugung und Verbrauch kurzfristig im Gleichgewicht sind.;What does 50 Hz mean in the power grid?;50 Hz means the alternating quantity repeats 50 times per second. The frequency also shows whether generation and consumption are briefly in balance.;0
Energie;Strom und Elektrotechnik;Was ist Drehstrom?;Drehstrom besteht aus drei Wechselspannungen, die zeitlich um 120 Grad verschoben sind. Er wird in Stromnetzen und elektrischen Maschinen verwendet.;What is three-phase current?;Three-phase current consists of three alternating voltages shifted by 120 degrees in time. It is used in power grids and electrical machines.;0
Energie;Strom und Elektrotechnik;Was macht ein Transformator?;Ein Transformator überträgt Wechselstromenergie zwischen Stromkreisen und verändert dabei meist die Spannung. Er kann Spannung erhöhen oder verringern.;What does a transformer do?;A transformer transfers AC energy between circuits and usually changes the voltage in the process. It can step voltage up or down.;0
Energie;Strom und Elektrotechnik;Was bedeutet kilo?;Kilo bedeutet 1.000 oder 10³. 1 kW entspricht 1.000 W.;What does kilo mean?;Kilo means 1,000 or 10³. 1 kW equals 1,000 W.;0
Energie;Strom und Elektrotechnik;Was bedeutet mega und giga?;Mega bedeutet 10⁶ und Giga 10⁹. 1 MW entspricht 1.000 kW und 1 GW entspricht 1.000 MW.;What do mega and giga mean?;Mega means 10⁶ and giga means 10⁹. 1 MW equals 1,000 kW, and 1 GW equals 1,000 MW.;0
Energie;Strom und Elektrotechnik;Was ist der Unterschied zwischen kW und kWh?;Kilowatt ist eine Leistungseinheit. Kilowattstunde ist eine Energieeinheit. Ein Gerät mit 1 kW Leistung verbraucht in einer Stunde 1 kWh.;What is the difference between kW and kWh?;Kilowatt is a unit of power. Kilowatt-hour is a unit of energy. A device with 1 kW of power consumes 1 kWh in one hour.;0
Energie;Strom und Elektrotechnik;Welche Einheiten sind für das Stromsystem besonders wichtig?;Spannung wird in V oder kV gemessen. Stromstärke wird in A gemessen. Leistung wird in W, kW oder MW angegeben. Energie wird in Wh, kWh oder MWh angegeben. Frequenz wird in Hz gemessen.;Which units matter most for the power system?;Voltage is measured in V or kV. Current is measured in A. Power is given in W, kW or MW. Energy is given in Wh, kWh or MWh. Frequency is measured in Hz.;0
Energie;Strom und Elektrotechnik;Wie berechnet man elektrische Energie?;Bei konstanter Leistung gilt E = P · t. Mit P in kW und t in Stunden erhält man E in kWh.;How do you calculate electrical energy?;At constant power, E = P · t. With P in kW and t in hours, you get E in kWh.;0
