parent_category;subcategory;front_de;back_de;front_en;back_en;is_bidirectional;map_region
Geografie;Deutschland;Wo liegt Bayern?;im Südosten, grenzt an Österreich und Tschechien. Hauptstadt: München.;Where is Bayern located?;in the south-east, borders Austria and the Czech Republic. Capital: Munich.;1;DE:Bayern
Geografie;Deutschland;Wo liegt Baden-Württemberg?;im Südwesten, grenzt an Frankreich und die Schweiz. Hauptstadt: Stuttgart.;Where is Baden-Württemberg located?;in the south-west, borders France and Switzerland. Capital: Stuttgart.;1;DE:Baden__x26__Württemberg
Geografie;Deutschland;Wo liegt Nordrhein-Westfalen?;im Westen, grenzt an die Niederlande und Belgien. Hauptstadt: Düsseldorf.;Where is Nordrhein-Westfalen located?;in the west, borders the Netherlands and Belgium. Capital: Düsseldorf.;1;DE:Nordrhein-Westfalen
Geografie;Deutschland;Wo liegt Niedersachsen?;im Nordwesten, grenzt an die Niederlande und die Nordsee. Hauptstadt: Hannover.;Where is Niedersachsen located?;in the north-west, borders the Netherlands and the North Sea. Capital: Hanover.;1;DE:Niedersachsen
Geografie;Deutschland;Wo liegt Hessen?;in der Mitte Deutschlands, mit Frankfurt als Finanzzentrum. Hauptstadt: Wiesbaden.;Where is Hessen located?;in the centre of Germany, with Frankfurt as a financial hub. Capital: Wiesbaden.;1;DE:Hessen
Geografie;Deutschland;Wo liegt Rheinland-Pfalz?;im Westen, grenzt an Frankreich, Luxemburg und Belgien. Hauptstadt: Mainz.;Where is Rheinland-Pfalz located?;in the west, borders France, Luxembourg and Belgium. Capital: Mainz.;1;DE:Rheinland-Pfalz
Geografie;Deutschland;Wo liegt Sachsen?;im Osten, grenzt an Polen und Tschechien. Hauptstadt: Dresden.;Where is Sachsen located?;in the east, borders Poland and the Czech Republic. Capital: Dresden.;1;DE:Sachsen
Geografie;Deutschland;Wo liegt Thüringen?;in der Mitte-Ost, waldreich (Thüringer Wald). Hauptstadt: Erfurt.;Where is Thüringen located?;in the centre-east, heavily forested (Thuringian Forest). Capital: Erfurt.;1;DE:Thüringen
Geografie;Deutschland;Wo liegt Brandenburg?;im Osten, umschließt Berlin, grenzt an Polen. Hauptstadt: Potsdam.;Where is Brandenburg located?;in the east, surrounds Berlin, borders Poland. Capital: Potsdam.;1;DE:Brandenburg
Geografie;Deutschland;Wo liegt Sachsen-Anhalt?;in der Mitte-Ost, an Elbe und Saale. Hauptstadt: Magdeburg.;Where is Sachsen-Anhalt located?;in the centre-east, on the Elbe and Saale rivers. Capital: Magdeburg.;1;DE:Sachsen
Geografie;Deutschland;Wo liegt Mecklenburg-Vorpommern?;im Nordosten, an der Ostsee, grenzt an Polen. Hauptstadt: Schwerin.;Where is Mecklenburg-Vorpommern located?;in the north-east, on the Baltic Sea, borders Poland. Capital: Schwerin.;1;DE:Mecklenburg-Vorpommern
Geografie;Deutschland;Wo liegt Schleswig-Holstein?;ganz im Norden, zwischen Nord- und Ostsee, grenzt an Dänemark. Hauptstadt: Kiel.;Where is Schleswig-Holstein located?;in the far north, between the North and Baltic Seas, borders Denmark. Capital: Kiel.;1;DE:Schleswig-Holstein
