parent_category;subcategory;front_de;back_de;front_en;back_en;is_bidirectional
Energie;Strom und Elektrotechnik;Was ist elektrischer Strom?;Elektrischer Strom ist die gerichtete Bewegung elektrischer Ladung. Die Stromstärke beschreibt, wie viel Ladung pro Zeit durch einen Leiter fließt.;;;0
Energie;Strom und Elektrotechnik;Was bedeutet die Stromstärke I?;Die Stromstärke I gibt an, wie viel elektrische Ladung pro Zeit fließt. Ihre Einheit ist Ampere. Ein Ampere entspricht einem Coulomb pro Sekunde.;;;0
Energie;Strom und Elektrotechnik;Was ist elektrische Spannung?;Elektrische Spannung U ist eine Potentialdifferenz zwischen zwei Punkten. Sie beschreibt, wie viel Energie pro Ladung übertragen werden kann. Die Einheit ist Volt.;;;0
Energie;Strom und Elektrotechnik;Was ist elektrischer Widerstand?;Der Widerstand R beschreibt, wie stark ein Bauteil den Stromfluss begrenzt. Die Einheit ist Ohm.;;;0
Energie;Strom und Elektrotechnik;Wie lautet das Ohmsche Gesetz?;Das Ohmsche Gesetz lautet U = R · I. Daraus folgen I = U / R und R = U / I.;;;0
Energie;Strom und Elektrotechnik;Was ist elektrische Leistung?;Leistung P beschreibt, wie schnell elektrische Energie umgesetzt oder übertragen wird. Bei Gleichstrom und rein ohmschen Lasten gilt P = U · I. Die Einheit ist Watt.;;;0
Energie;Strom und Elektrotechnik;Was ist elektrische Energie?;Elektrische Energie ist die über eine Zeit übertragene oder umgesetzte Energiemenge. Bei konstanter Leistung gilt E = P · t.;;;0
Energie;Strom und Elektrotechnik;Was ist der Unterschied zwischen Leistung und Energie?;Leistung beschreibt eine Rate und wird in Watt gemessen. Energie beschreibt eine Menge über einen Zeitraum und wird zum Beispiel in Wattstunden oder Joule gemessen.;;;0
Energie;Strom und Elektrotechnik;Was ist ein Leiter?;Ein Leiter ist ein Material, in dem sich elektrische Ladungsträger vergleichsweise leicht bewegen können. Kupfer und Aluminium sind typische Leiter.;;;0
Energie;Strom und Elektrotechnik;Was ist ein Isolator?;Ein Isolator leitet elektrischen Strom sehr schlecht. Beispiele sind Glas, Kunststoff und Keramik.;;;0
Energie;Strom und Elektrotechnik;Was ist Gleichstrom?;Bei Gleichstrom bleibt die Stromrichtung grundsätzlich gleich. Batterien und Photovoltaikmodule erzeugen zunächst Gleichstrom.;;;0
Energie;Strom und Elektrotechnik;Was ist Wechselstrom?;Bei Wechselstrom ändern sich Stromrichtung und Spannung periodisch. Das öffentliche Stromnetz arbeitet mit Wechselspannung.;;;0
Energie;Strom und Elektrotechnik;Was bedeutet 50 Hz im Stromnetz?;50 Hz bedeutet, dass sich die Wechselgröße 50-mal pro Sekunde wiederholt. Die Frequenz zeigt außerdem, ob Erzeugung und Verbrauch kurzfristig im Gleichgewicht sind.;;;0
Energie;Strom und Elektrotechnik;Was ist Drehstrom?;Drehstrom besteht aus drei Wechselspannungen, die zeitlich um 120 Grad verschoben sind. Er wird in Stromnetzen und elektrischen Maschinen verwendet.;;;0
Energie;Strom und Elektrotechnik;Was macht ein Transformator?;Ein Transformator überträgt Wechselstromenergie zwischen Stromkreisen und verändert dabei meist die Spannung. Er kann Spannung erhöhen oder verringern.;;;0
Energie;Strom und Elektrotechnik;Was bedeutet kilo?;Kilo bedeutet 1.000 oder 10³. 1 kW entspricht 1.000 W.;;;0
Energie;Strom und Elektrotechnik;Was bedeutet mega und giga?;Mega bedeutet 10⁶ und Giga 10⁹. 1 MW entspricht 1.000 kW und 1 GW entspricht 1.000 MW.;;;0
Energie;Strom und Elektrotechnik;Was ist der Unterschied zwischen kW und kWh?;Kilowatt ist eine Leistungseinheit. Kilowattstunde ist eine Energieeinheit. Ein Gerät mit 1 kW Leistung verbraucht in einer Stunde 1 kWh.;;;0
